;Region;Sport_Pratiqué;Temps_Entrainement_Heures;Masse_Musculaire_kg;Depense_Energetique_kcal;Nombre_Blessures;Motivation_Sport;Satisfaction_Sport;Competitions_Annuelles;Nombre_Trophees;Sponsor
36;3;Athlétisme;1;88;3094,091061;2;4;Excellente;16;1;Sans sponsor
116;1;Athlétisme;1;78;1520,153056;2;4;Excellente;19;6;Sans sponsor
180;4;Football;1;83,2;1236,349678;0;1;Faible;14;0;Sans sponsor
239;2;Athlétisme;1;65,1;2400,805715;4;5;Excellente;3;3;Sans sponsor
192;1;Athlétisme;1;94,9;1164,664416;0;3;Très faible;10;7;Sans sponsor
118;3;Natation;1;54,3;2851,634652;4;5;Excellente;15;2;Sans sponsor
175;3;Tennis;1;86,9;850,3736143;1;4;Très faible;19;4;Sans sponsor
23;2;Tennis;2;91,4;2269,309578;4;4;Très faible;8;2;Sans sponsor
66;3;Tennis;2;94;3316,330813;1;3;;17;4;Sans sponsor
152;1;Football;2;90,7;3299,230011;2;2;Bonne;16;2;Sans sponsor
188;1;;2;73,9;1228,483028;4;1;Faible;9;3;Sans sponsor
214;2;Basketball;2;45,7;1726,106046;0;4;Bonne;6;6;Sans sponsor
86;1;Football;2;81,1;2869,131148;2;4;Très faible;9;1;Sans sponsor
181;3;Football;2;82,9;1111,87051;0;5;Très faible;13;2;Sans sponsor
182;3;Natation;2;60,9;775,9299896;1;4;Moyenne;10;0;Sans sponsor
183;2;Football;2;85,4;3199,518485;2;4;Bonne;6;4;Sans sponsor
119;1;Football;2;46,4;1935,573404;2;2;Bonne;18;4;Sans sponsor
137;1;Tennis;2;85,6;878,7870506;1;4;Moyenne;12;3;Sans sponsor
200;4;Tennis;2;73,5;2830,905077;4;1;Excellente;9;0;Sans sponsor
246;4;Natation;2;82,1;3246,358194;4;2;Très faible;6;0;Sans sponsor
70;2;Tennis;2;73,2;2526,810037;3;5;Excellente;17;9;Sans sponsor
88;3;Football;2;98;2984,757421;3;1;Très faible;7;1;Sans sponsor
114;2;Natation;2;79,4;3464,067877;0;1;Faible;13;5;Sans sponsor
126;1;Tennis;2;69,5;671,8644781;3;1;Faible;19;7;Sans sponsor
139;2;Basketball;2;81,3;2757,967504;4;3;Faible;16;6;Sans sponsor
179;2;Athlétisme;2;81,6;765,8056447;0;4;Excellente;5;3;Sans sponsor
220;1;Football;2;52,2;906,8970375;1;1;Moyenne;8;0;Sans sponsor
222;3;Football;2;69,1;1442,043398;0;4;Moyenne;11;7;Sans sponsor
20;2;Tennis;3;86,3;3020,088669;0;1;Bonne;3;3;Sans sponsor
45;4;Basketball;3;93;1444,909258;0;4;Très faible;11;0;Sans sponsor
145;3;Tennis;3;67,7;976,4435693;0;1;Très faible;15;3;Sans sponsor
201;1;Basketball;3;83,1;3450,773977;3;3;Très faible;8;2;Sans sponsor
203;4;Football;3;72,9;805,7359855;3;3;Excellente;18;7;Sans sponsor
219;2;Football;3;98,8;2211,834973;0;3;Excellente;5;0;Sans sponsor
27;1;Natation;3;51;3151,093538;1;5;Excellente;11;3;Sans sponsor
105;1;Football;3;93,2;2736,905098;3;1;Excellente;15;1;Sans sponsor
71;4;Football;3;71;2932,606688;2;4;Excellente;14;5;Sans sponsor
58;4;Basketball;3;70,3;2943,521044;3;1;Faible;13;9;Sans sponsor
97;4;Athlétisme;3;49,2;706,0799188;4;1;Excellente;9;5;Sans sponsor
101;4;Tennis;3;91,2;1956,315758;1;3;Bonne;13;8;Sans sponsor
148;1;Natation;3;86;3284,766087;1;5;Moyenne;6;1;Sans sponsor
6;2;Basketball;4;57,7;2632,834865;2;2;Bonne;9;6;Adidas
147;4;Tennis;4;90,5;2221,280351;4;4;Bonne;5;3;Adidas
49;1;Basketball;4;62,9;1318,838254;4;3;Moyenne;8;2;Sans sponsor
217;3;Tennis;4;69,3;520,3132725;3;2;Très faible;5;0;Sans sponsor
55;4;Natation;4;49;528,7548388;0;4;Excellente;17;2;Puma
85;1;Football;4;63;;0;3;Très faible;7;2;Puma
227;2;Basketball;4;75,3;1891,925656;2;5;Moyenne;6;4;Puma
42;1;Football;4;71,3;730,4390532;2;4;Bonne;17;3;Sans sponsor
176;3;Basketball;4;87;3263,089355;2;2;Faible;15;4;Sans sponsor
72;1;Athlétisme;5;85;1675,198271;3;4;Excellente;18;1;Adidas
120;1;Basketball;5;60,8;758,2152559;4;3;Excellente;5;2;Adidas
186;1;Tennis;5;94,8;907,1279496;4;2;Moyenne;4;4;Adidas
5;3;Athlétisme;5;59,7;2074,489014;4;3;Moyenne;7;1;Puma
75;2;Athlétisme;5;87,3;954,4582477;4;2;Faible;10;9;Puma
231;1;Basketball;5;67;3414,963459;1;5;Faible;15;6;Puma
244;4;Natation;5;94,3;2628,218972;1;5;Faible;3;3;Puma
73;3;Athlétisme;5;99,7;1951,763246;2;2;Moyenne;11;2;Sans sponsor
99;2;Basketball;5;98;3121,955089;4;3;Bonne;10;2;Sans sponsor
144;2;Tennis;5;87,6;2163,813736;1;5;Faible;4;3;Sans sponsor
194;2;Basketball;5;83;2473,411267;3;4;Moyenne;12;8;Sans sponsor
198;1;Football;5;81,5;1556,790726;4;5;Très faible;18;4;Sans sponsor
206;3;Natation;5;70,4;3230,601485;3;2;Bonne;19;0;Sans sponsor
9;3;Natation;6;65;3275,739117;3;1;Très faible;15;5;Adidas
177;1;Natation;6;48,7;1951,591617;3;4;Bonne;14;1;Adidas
