POSSESSION	APPARTENANCE	MARQUE	TYPE	ANCIENNETE	PUISSANCE	CARBURANT	OPTIONS	NOTE	ENTRETIEN	KILOMETRAGE	DEPENSE	CRITERE1	CRITERE2	CRITERE3	CRITERE4	CRITERE5	SEXE	CSP
Oui	famille	Citroen	Occasion	5	4-5_CV	Sans plomb	Ordinateur de bord	11.00	0	40	0	consommation	securite	cout_entretien	vitesse	confort	Femme	Etudiant
Oui	famille	Citroen	Occasion		moins_de_4CV	Sans plomb	Autres	12.00	0	1300	500	cout_entretien	consommation	pollution	vitesse	esthetique	Homme	Etudiant
Oui	famille	Autre	Neuve	2		Gasoil	Airbags	16.00	0	400	100	cout_entretien	esthetique	consommation	confort	vitesse	Homme	Etudiant
Oui	vous	Renault	Neuve	4	6-7_CV	Essence	Climatisation	15.00	1	1500	2000	confort	esthetique	securite	espace	vitesse	Homme	Cadre
Oui	vous	Peugeot	Occasion	8	4-5_CV	Essence	Autres	10.00	1	500	400	esthetique	vitesse	consommation	pollution	espace	Femme	Etudiant
Oui	vous	Renault	Neuve	2	4-5_CV	Gasoil	Airbags	17.00	0	500	600	confort	securite	consommation	esthetique	cout_entretien	Femme	Employe
Oui	famille	Renault	Neuve	2	4-5_CV	Gasoil	Airbags	14.00	0	100	0	esthetique	confort	vitesse	cout_entretien	consommation	Homme	Etudiant
Oui	vous	Peugeot	Occasion	3	4-5_CV	Sans plomb	Airbags	11.00	1	500	1000	confort	securite	esthetique	espace	consommation	Homme	Inactif
Oui	vous	Ford	Neuve	3	4-5_CV	Essence	Climatisation	12.00	0	1000	1200	confort	esthetique	espace	pollution	securite	Femme	Employe
Oui	vous	Mercedes	Occasion	4	8-9_CV	Essence	Climatisation	17.00	5	3000	2000	esthetique	vitesse	confort	securite	La tenue de route	Homme	Cadre
Oui	famille	Renault	Occasion	5	4-5_CV	Gasoil	Autres	12.00	0	500	200	confort	cout_entretien	pollution	esthetique	consommation	Femme	Inactif
Oui	vous	Volkswagen	Occasion		4-5_CV	Gasoil	Jantes alu	11.00	10	1500	1500	consommation	esthetique	espace	cout_entretien	confort	Homme	Commerçant-artisa
Oui	vous	Opel	Occasion	2	4-5_CV	Gasoil	Climatisation	13.00	0	800	1000	confort	esthetique	cout_entretien	securite	consommation	Femme	Employe
Oui	vous	Autre	Occasion		6-7_CV	Essence	Airbags	12.00	3	2000	1500	esthetique	vitesse	cout_entretien	consommation	securite	Homme	Commerçant-artisa
