Unnamed: 0	Origine	Taille	Type	Sinistre	NbSinistre	Marital	Enfant	Sexe	Age	Region
1	1	3	1.0	1.0	0	2	2.0	1	41.0	3
2	2	1	2.0	1.0	0	3	0.0	1	66.0	1
3	2	1	1.0	1.0	0	4	0.0	1	30.0	3
4	1	3	1.0	2.0	1	3	0.0	1	119.0	1
5	1	2	1.0	1.0	0	2	1.0	1	71.0	1
6	2	2		1.0	0	1	2.0	1	93.0	2
7	1	3	1.0	1.0	0	2	1.0	2	67.0	2
8	3	2	1.0	1.0	0	2	2.0	2	52.0	2
9	1	2	2.0	1.0	0	4		1	20.0	2
10	1	2	1.0	1.0	0	4	0.0	2	52.0	2
11	3	1	2.0	1.0	0	2	1.0	2	47.0	1
12	3	2	2.0	1.0	0	3	0.0	1	56.0	2
13	1	2	2.0	1.0	0	4	0.0	2	61.0	1
14	2	1	2.0	1.0	0	3	0.0	1		3
15	2	2	1.0	1.0	0	3	0.0	2	64.0	2
16	1	3	1.0	1.0	0	2	2.0	1	59.0	1
17	1	1	2.0	1.0	0	3	0.0	1	26.0	2
18	1	2	3.0	1.0	0	3	0.0	1	77.0	1
19	2	1	1.0	1.0	0	2	1.0	1	51.0	2
20	3	2	1.0	1.0	0	2	3.0	1	87.0	3
21	2	1		2.0	2	4	0.0	2	81.0	2
22	2	2	1.0	1.0	0	2	1.0	1	75.0	2
23	1	3	1.0	1.0	0	2	3.0	1	31.0	3
24	3	1	2.0	1.0	0	3	0.0	2	53.0	3
25	3	2	1.0	1.0	0	2	21.0	2	77.0	1
26	3	2	2.0	1.0	0	4	0.0	2	46.0	1
27	2	1	2.0	2.0	2	3	0.0	1	133.0	1
28	1	2	2.0	1.0	0	4	0.0	2	71.0	1
29	2	1	2.0	1.0	0	4	0.0	2	44.0	2
30	1	1	2.0	1.0	0	4	0.0	1	28.0	3
31	2	2	1.0	1.0	0	4	0.0	2	79.0	2
32	1	1	2.0	2.0	1	3	0.0	1	90.0	2
33	3	2	1.0	1.0	0	4	0.0	2	65.0	3
34	2	1		1.0	0	2		1	31.0	2
35	1	3	3.0	1.0	0	2	6.0	1	55.0	3
36	2	2	2.0	2.0	4	3	0.0	1		2
37	1	2	1.0	2.0	3	3	0.0	2	29.0	2
38	3	1	1.0	2.0	2	4	0.0	2	27.0	3
39	3	2	1.0	1.0	0	2	1.0	2	37.0	1
40	1	1	3.0	1.0	0	2	1.0	1	38.0	2
41	2	1	2.0	1.0	0	4	0.0	2	74.0	2
42	1	2	2.0	1.0	0	4	0.0	2	74.0	3
43	1	1	2.0	1.0	0	3	0.0	2	67.0	2
44	2	2	2.0	2.0	3	3	0.0	2	45.0	1
45	1	2	1.0	2.0	1	2	2.0	1	54.0	1
46	2	1	1.0	2.0	4	3	0.0	1	37.0	2
47	2	2		1.0	0	2	2.0	2	57.0	3
48	1	2	2.0	1.0	0	3	0.0	1	41.0	1
49	3	1	3.0	1.0	0	2	1.0	1	45.0	2
50	3	1	2.0	1.0	0	4	0.0	1	60.0	1
51	2	1	1.0	1.0	0	2	1.0	2	68.0	3
52	1	2	1.0	1.0	0	2	2.0	1	26.0	3
53	2	2	1.0	1.0	0	2	2.0	2	65.0	2
54	2	1	1.0	1.0	0	2	1.0	1	84.0	2
55	2	2	1.0	1.0	0	3	0.0	1	56.0	3
56	1	1	1.0	2.0	2	4	0.0	1	19.0	2
57	2	2	2.0	1.0	0	4	0.0	1	70.0	2
58	1	3	1.0		1	3	0.0	1	86.0	3
59	3	1	2.0	1.0	0	4	0.0	1		2
60	1	3	1.0	1.0	0	2	2.0	2	19.0	1
61	1	3	1.0	1.0	0	4	0.0	1	62.0	2
62	2	1	3.0	1.0	0	3	0.0	2	89.0	2
63	2	1	1.0	1.0	0	2	1.0	1	79.0	3
64	1	2	1.0	1.0	0	2	2.0	1	31.0	2
65	2	2	1.0	1.0	0	2	1.0	1	92.0	3
66	2	1	1.0	1.0	0	4	0.0	1	71.0	2
67	3	2	1.0	1.0	0	2	3.0	1	51.0	1
68	1	3	1.0	1.0	0	2	1.0	1	28.0	1
69	1	3		1.0	0	2	1.0	2	43.0	3
70	2	1	3.0	2.0	2	3	0.0	1	75.0	1
71	3	1	2.0		0	4	0.0	2	43.0	1
72	2	1	2.0	2.0	2	3	0.0	1	80.0	1
73	1	3		2.0	2	3	0.0	1	77.0	3
74	1	2	1.0	2.0	3	4	0.0	2	22.0	1
75	3	3	3.0	1.0	0	3	0.0	2	22.0	2
76	2	1	3.0	1.0	0	3	0.0	2	57.0	3
77	3	2	1.0	1.0	0	2		1	68.0	1
78	2	1	3.0	1.0	0	2	2.0	2	30.0	2
79	2	1	2.0	2.0	3	2	1.0	1	82.0	2
80	1	1	1.0	1.0	0	2	2.0	1	65.0	2
81	2	1	1.0	1.0	0	2	1.0	1	26.0	1
82	1	3	3.0	1.0	0	4	0.0	1	38.0	1
83	1	2	1.0	2.0	4	1	2.0	2	27.0	1
84	1	2	1.0	1.0	0	2	1.0	2	23.0	1
85	2	1	2.0	2.0	4	4	0.0	2	23.0	1
86	2	1	3.0	1.0	0	2	2.0	2	67.0	3
87	2	2	1.0	2.0	3	3	0.0	1	20.0	2
88	1	1	1.0	1.0	0	4	0.0	2	23.0	2
89	2	2	1.0	1.0	0	4	0.0	1	57.0	1
90	1	3	1.0	1.0	0	2	1.0	2	51.0	2
91	2	1	1.0	1.0	0	4	10.0	1	90.0	2
92	2	2	3.0	2.0	3	4	0.0	1	24.0	1
93	2	1	2.0	2.0	3	3	0.0	2	41.0	3
94	2	1	3.0	2.0	2	3	0.0	1	50.0	1
95	1	1	3.0	1.0	0	4	0.0	1	52.0	3
96	2	1	2.0	1.0	0	4	0.0	1	79.0	2
97	2	1	1.0	1.0	0	2	1.0	1	58.0	1
98	2	3	3.0	1.0	0	4	0.0	2	72.0	3
99	3	3	3.0	1.0	0	4	0.0	2	34.0	3
100	2	2	2.0	1.0	0	4	0.0	1		1
101	2	1	1.0	1.0	0	4	0.0	2	30.0	3
102	1	2	1.0	1.0	0	4	0.0	1	63.0	3
103	2	2	1.0	1.0	0	2	1.0	1	43.0	1
104	2	2	1.0		0	4	0.0	2	64.0	3
105	2	2	2.0	1.0	0	2	1.0	1	49.0	2
106	3	1	1.0	1.0	0	4	0.0	1	54.0	1
107	2	1	1.0	1.0	0	3	0.0	1	48.0	3
108	1	2	2.0	1.0	0	2	1.0	2	87.0	1
109	1	1	2.0	2.0	2	4	0.0	1	54.0	2
110	1	1	3.0	1.0	0	1	2.0	2	26.0	1
111	2	1	2.0	1.0	0	4	0.0	2	26.0	2
112	3	2	2.0	2.0	1	3	0.0	2	67.0	2
113	1	2	2.0	2.0	1	3	0.0	1	37.0	3
114	2	1	2.0	2.0	1	3	0.0	1	59.0	3
115	3	3	3.0	2.0	1	3	0.0	1	86.0	2
116	2	2	3.0	2.0	3	3	0.0	1	62.0	1
117	3	2	2.0	1.0	0	3	0.0	1	22.0	2
118	2	2	3.0	2.0	3	4	0.0	1	87.0	3
119	3	1	1.0	1.0	0	4	0.0	1	69.0	2
120	1	2	2.0	1.0	0	3	0.0	1	37.0	3
121	2	1	1.0	2.0	3	3	0.0	2	67.0	2
122	2	1	1.0	2.0	3	3	0.0	2	66.0	1
123	1	2	2.0	1.0	0	3	0.0	2	63.0	3
124	2	2	1.0	1.0	0	4	0.0	2	26.0	1
